epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,114.659,0.76867,1.45272,0.70745,1.20014,0.79855,0.76101,0.85624,0.50701,0.46859,0.57143,0.55392,0.41205,1.33283,5.76418,1.79069,2.04288,0.00157953,0.00157953,0.00157953
55,116.679,0.83111,1.49592,0.74642,1.24483,0.67045,0.73035,0.81932,0.48437,0.41664,0.57143,0.54045,0.42406,1.36458,5.31916,1.54858,2.01144,0.00157788,0.00157788,0.00157788
56,118.684,0.9559,1.43536,0.89002,1.36473,0.64587,0.71429,0.76146,0.48962,0.48314,0.57143,0.60898,0.43933,1.27408,6.23555,1.71325,1.91039,0.00157623,0.00157623,0.00157623
57,120.765,0.86157,1.44593,0.88018,1.35042,0.76104,0.91299,0.84474,0.52638,0.59637,0.64286,0.60901,0.43006,1.29118,7.81856,1.37375,2.16676,0.00157458,0.00157458,0.00157458
58,122.73,0.88087,1.47108,0.77903,1.29907,0.69666,0.92857,0.80013,0.51552,0.61444,0.71429,0.70415,0.46725,1.31493,4.75068,1.15063,2.19138,0.00157293,0.00157293,0.00157293
59,124.713,0.88214,1.48142,0.8305,1.31088,0.8057,0.76078,0.7859,0.54151,0.71406,0.64286,0.65767,0.47239,1.29238,4.10472,1.22523,2.08594,0.00157128,0.00157128,0.00157128
60,126.713,0.83915,1.38114,0.8198,1.23002,0.95313,0.84238,0.89772,0.63725,0.95313,0.84238,0.89772,0.50625,1.13345,3.21223,1.12024,1.82415,0.00156963,0.00156963,0.00156963
61,129.086,0.83846,1.53509,0.80949,1.25294,0.81194,0.85714,0.8114,0.60492,0.81194,0.85714,0.8114,0.49271,1.1251,2.8394,1.17661,1.7507,0.00156798,0.00156798,0.00156798
62,131.216,0.68294,1.22501,0.67784,1.11706,0.77433,0.85101,0.75978,0.60119,0.82474,0.64263,0.59703,0.50702,1.09965,2.88831,1.14996,1.72892,0.00156633,0.00156633,0.00156633
63,133.227,0.83443,1.43524,0.78635,1.29229,0.8499,0.85714,0.82349,0.62915,0.70267,0.71429,0.70139,0.52851,1.06527,2.3211,1.07327,1.69343,0.00156468,0.00156468,0.00156468
64,135.196,0.71282,1.10662,0.64811,1.15674,0.75848,0.85714,0.80003,0.58025,0.75848,0.85714,0.80003,0.51898,1.12806,2.14868,1.2023,1.78279,0.00156303,0.00156303,0.00156303
65,137.21,0.70274,1.02808,0.62031,1.19189,0.82814,0.92857,0.8761,0.54812,0.82814,0.92857,0.8761,0.52745,1.07202,2.01616,1.20171,1.97373,0.00156138,0.00156138,0.00156138
66,139.229,0.6583,1.16207,0.6472,1.15193,0.88556,0.91387,0.91671,0.59854,0.88556,0.91387,0.91671,0.54843,1.02639,1.51129,1.12436,1.79239,0.00155973,0.00155973,0.00155973
67,141.715,0.77527,1.27246,0.71463,1.22806,0.84885,0.85714,0.87729,0.6043,0.84885,0.85714,0.87505,0.55475,0.8916,1.64413,1.05922,1.63271,0.00155808,0.00155808,0.00155808
68,144.126,0.76859,1.20289,0.68778,1.17217,0.71532,0.8545,0.8411,0.61667,0.78124,0.92396,0.90296,0.58953,1.05654,1.49634,1.00795,1.75885,0.00155643,0.00155643,0.00155643
69,146.514,0.71511,1.10345,0.64881,1.1662,0.7162,0.91331,0.8875,0.63517,0.65918,0.85714,0.75801,0.52755,1.1285,2.26245,0.97487,1.83184,0.00155478,0.00155478,0.00155478
70,148.446,0.79739,1.2491,0.7595,1.2759,0.8743,0.78571,0.8819,0.58218,0.62544,0.785,0.64976,0.44952,1.19267,2.75049,0.9895,1.81192,0.00155313,0.00155313,0.00155313
71,150.463,0.75362,1.28546,0.65632,1.18346,0.69916,0.81803,0.82804,0.57902,0.95273,0.71429,0.80214,0.40424,1.10214,3.63648,1.09842,1.62698,0.00155148,0.00155148,0.00155148
72,152.496,0.76252,1.23136,0.66422,1.16698,0.76107,0.85714,0.80854,0.59032,0.76107,0.85714,0.80963,0.45832,0.99291,2.92791,0.94719,1.6598,0.00154983,0.00154983,0.00154983
73,154.512,0.6914,1.19848,0.65694,1.14854,0.77275,0.85714,0.80482,0.59952,0.77275,0.85714,0.79974,0.47417,0.96758,3.03392,0.87345,1.69504,0.00154818,0.00154818,0.00154818
74,156.547,0.74464,1.23668,0.69407,1.22047,0.81929,0.85714,0.82951,0.63558,0.81929,0.85714,0.82845,0.47531,0.90078,3.02929,0.91301,1.60434,0.00154653,0.00154653,0.00154653
75,158.563,0.69565,1.37145,0.64394,1.18187,0.64511,0.82666,0.72596,0.54707,0.60141,0.75555,0.68205,0.44305,1.03251,2.54675,1.11875,1.69958,0.00154488,0.00154488,0.00154488
76,160.528,0.68898,1.15114,0.67679,1.16489,0.67921,0.71429,0.62348,0.46852,0.62323,0.64286,0.57744,0.41076,1.25174,2.82633,1.2999,1.94373,0.00154323,0.00154323,0.00154323
77,162.562,0.70391,1.15769,0.68144,1.13448,0.67515,0.64286,0.64065,0.48264,0.65338,0.57143,0.57738,0.38614,1.38787,3.39191,1.25207,2.11339,0.00154157,0.00154157,0.00154157
78,164.529,0.74018,1.2419,0.65388,1.18381,0.83274,0.78571,0.82779,0.56487,0.7705,0.71429,0.75056,0.50687,1.09686,1.88986,0.97887,1.81945,0.00153992,0.00153992,0.00153992
79,166.507,0.68245,1.26888,0.64169,1.1548,0.81151,0.85714,0.82625,0.5514,0.74006,0.78571,0.74845,0.50452,1.20622,1.85381,1.12596,2.00335,0.00153827,0.00153827,0.00153827
80,168.398,0.68865,1.08596,0.6014,1.14623,0.85632,0.92857,0.90542,0.52501,0.9077,0.78571,0.83568,0.48581,1.11523,1.99009,1.27715,1.92298,0.00153662,0.00153662,0.00153662
81,170.39,0.70169,1.51512,0.65058,1.15077,0.88151,0.91731,0.91535,0.60611,0.80772,0.84942,0.80683,0.52918,1.18952,1.92055,1.07583,2.04787,0.00153497,0.00153497,0.00153497
82,172.393,0.67948,1.36493,0.69515,1.17684,0.8854,0.92857,0.89459,0.60004,0.81442,0.85714,0.81407,0.56986,1.20018,2.03186,0.89029,2.09356,0.00153332,0.00153332,0.00153332
83,174.398,0.71799,1.09968,0.62427,1.1799,0.8281,0.85714,0.82452,0.56111,0.76657,0.78571,0.75664,0.52265,1.24504,3.46554,0.95127,2.10864,0.00153167,0.00153167,0.00153167
84,176.316,0.67244,1.23972,0.62441,1.14496,0.89438,0.82506,0.82212,0.53404,0.82456,0.74917,0.77082,0.51163,1.21967,3.14885,1.10126,2.01474,0.00153002,0.00153002,0.00153002
85,178.293,0.7197,1.18554,0.64277,1.1804,0.67391,0.85714,0.77139,0.54214,0.63874,0.78571,0.70599,0.51859,1.12382,2.41694,1.04425,1.75024,0.00152837,0.00152837,0.00152837
86,180.276,0.6672,1.2142,0.60139,1.12762,0.76672,0.85714,0.84638,0.56676,0.69842,0.78571,0.70446,0.51424,1.00532,2.34223,0.97971,1.56089,0.00152672,0.00152672,0.00152672
87,182.243,0.67675,1.16182,0.59482,1.14455,0.82599,0.81963,0.86493,0.60945,0.79456,0.71429,0.80908,0.53845,1.02321,2.4451,0.99132,1.54618,0.00152507,0.00152507,0.00152507
88,184.261,0.72922,1.12981,0.6378,1.17798,0.61124,0.91588,0.82313,0.6121,0.70267,0.78571,0.78574,0.56435,0.98884,2.73923,1.04666,1.52592,0.00152342,0.00152342,0.00152342
89,186.324,0.66512,1.24595,0.62016,1.09921,0.77686,0.71429,0.79357,0.62054,0.77686,0.71429,0.79357,0.56177,0.91258,2.68012,1.08015,1.4123,0.00152177,0.00152177,0.00152177
90,188.243,0.65524,1.09561,0.55151,1.14353,0.78991,0.92857,0.89073,0.66687,0.78991,0.92857,0.89073,0.58091,0.95045,2.89806,0.98772,1.512,0.00152012,0.00152012,0.00152012
91,190.582,0.64808,1.14507,0.57673,1.12236,0.69003,0.92857,0.85262,0.61496,0.7406,0.83422,0.83124,0.53108,1.06514,3.10307,1.00815,1.57488,0.00151847,0.00151847,0.00151847
