epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,94.6815,0,0,0.00582,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00187526,0.00187526,0.00187526
65,96.0919,0,0,0.00171,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00187328,0.00187328,0.00187328
66,97.5476,0,0,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018713,0.0018713,0.0018713
67,98.9163,0,0,0.00124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186932,0.00186932,0.00186932
68,100.35,0,0,0.00118,0,0,0,0,0,0,0,0,0,5.32705,60.548,7.47646,11.0355,0.00186734,0.00186734,0.00186734
69,101.748,0,0,0.00061,0,0,0,0,0,0,0,0,0,5.32705,60.548,7.47646,11.0355,0.00186536,0.00186536,0.00186536
70,103.242,0,0,0.0007,0,0,0,0,0,0,0,0,0,4.71735,20.3073,7.48868,5.67,0.00186338,0.00186338,0.00186338
71,104.625,0,0,0.00016,0,0,0,0,0,0,0,0,0,4.71735,20.3073,7.48868,5.67,0.0018614,0.0018614,0.0018614
72,106.035,0,0,0.00015,0,0,0,0,0,0,0,0,0,4.58424,13.5928,8.18695,5.08597,0.00185942,0.00185942,0.00185942
73,107.408,0,0,0,0,0,0,0,0,0,0,0,0,4.58424,13.5928,8.18695,5.08597,0.00185744,0.00185744,0.00185744
74,108.849,0,0,1e-05,0,0,0,0,0,0,0,0,0,4.52307,11.8953,8.20653,4.04427,0.00185546,0.00185546,0.00185546
75,110.244,0,0,0,0,0,0,0,0,0,0,0,0,4.52307,11.8953,8.20653,4.04427,0.00185348,0.00185348,0.00185348
76,111.649,0,0,1e-05,0,0,0,0,0,0,0,0,0,3.99909,11.2699,8.40572,3.21626,0.0018515,0.0018515,0.0018515
77,113.015,0,0,0,0,0,0,0,0,0,0,0,0,3.99909,11.2699,8.40572,3.21626,0.00184952,0.00184952,0.00184952
78,114.375,0,0,0,0,0,0,0,0,0,0,0,0,3.90385,9.9208,8.52325,3.02403,0.00184754,0.00184754,0.00184754
79,115.797,0,0,0,0,0,0,0,0,0,0,0,0,3.90385,9.9208,8.52325,3.02403,0.00184556,0.00184556,0.00184556
80,117.159,0,0,0,0,0,0,0,0,0,0,0,0,3.74185,9.67986,8.563,2.86523,0.00184358,0.00184358,0.00184358
81,118.687,0,0,0,0,0,0,0,0,0,0,0,0,3.74185,9.67986,8.563,2.86523,0.0018416,0.0018416,0.0018416
82,120.149,0,0,0,0,0,0,0,0,0,0,0,0,4.25917,10.6269,8.1548,6.01192,0.00183962,0.00183962,0.00183962
83,121.532,0,0,0,0,0,0,0,0,0,0,0,0,4.25917,10.6269,8.1548,6.01192,0.00183764,0.00183764,0.00183764
84,122.976,0,0,0,0,1,0.03125,0.51562,0.05156,0,0,0,0,4.68747,14.2866,8.00094,6.70571,0.00183566,0.00183566,0.00183566
85,124.299,0,0,0,0,1,0.03125,0.51562,0.05156,0,0,0,0,4.68747,14.2866,8.00094,6.70571,0.00183368,0.00183368,0.00183368
86,125.714,0,0,0,0,0,0,0,0,0,0,0,0,4.69604,19.5737,8.31469,5.79058,0.0018317,0.0018317,0.0018317
87,127.064,0,0,0,0,0,0,0,0,0,0,0,0,4.69604,19.5737,8.31469,5.79058,0.00182972,0.00182972,0.00182972
88,128.515,0,0,0,0,0,0,0,0,0,0,0,0,4.6872,18.1669,8.41413,5.91194,0.00182774,0.00182774,0.00182774
89,129.865,0,0,0,0,0,0,0,0,0,0,0,0,4.6872,18.1669,8.41413,5.91194,0.00182576,0.00182576,0.00182576
90,131.297,0,0,0,0,0,0,0,0,0,0,0,0,5.02271,20.2921,8.28374,6.76092,0.00182378,0.00182378,0.00182378
91,132.649,0,0,0,0,0,0,0,0,0,0,0,0,5.02271,20.2921,8.28374,6.76092,0.0018218,0.0018218,0.0018218
92,134.165,0,0,0,0,0,0,0,0,0,0,0,0,5.26768,25.6157,8.26623,8.28889,0.00181982,0.00181982,0.00181982
93,135.472,0,0,0,0,0,0,0,0,0,0,0,0,5.26768,25.6157,8.26623,8.28889,0.00181784,0.00181784,0.00181784
94,136.915,0,0,0,0,0,0,0,0,0,0,0,0,4.92053,20.8866,8.3267,5.96842,0.00181586,0.00181586,0.00181586
95,138.266,0,0,0,0,0,0,0,0,0,0,0,0,4.92053,20.8866,8.3267,5.96842,0.00181388,0.00181388,0.00181388
96,139.647,0,0,0,0,0,0,0,0,0,0,0,0,4.99975,22.007,8.43471,6.68401,0.0018119,0.0018119,0.0018119
97,140.98,0,0,0,0,0,0,0,0,0,0,0,0,4.99975,22.007,8.43471,6.68401,0.00180992,0.00180992,0.00180992
98,142.395,0,0,0,0,0,0,0,0,0,0,0,0,4.43148,18.8366,8.5353,4.81819,0.00180794,0.00180794,0.00180794
99,143.726,0,0,0,0,0,0,0,0,0,0,0,0,4.43148,18.8366,8.5353,4.81819,0.00180596,0.00180596,0.00180596
100,145.068,0,0,0,0,0,0,0,0,0,0,0,0,4.63856,18.5604,8.32833,5.05201,0.00180398,0.00180398,0.00180398
101,146.445,0,0,0,0,0,0,0,0,0,0,0,0,4.63856,18.5604,8.32833,5.05201,0.001802,0.001802,0.001802
