epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
105,254.643,0.34038,0.6055,1,2.31104,0.0089704,0.0089704,0.0089704
106,257.154,0.38303,0.55046,1,1.68994,0.0089605,0.0089605,0.0089605
107,259.584,0.38184,0.45872,1,1.78345,0.0089506,0.0089506,0.0089506
108,262.276,0.43148,0.54128,1,1.77881,0.0089407,0.0089407,0.0089407
109,264.624,0.36481,0.51376,1,2.01245,0.0089308,0.0089308,0.0089308
110,267.002,0.38136,0.55046,1,1.88013,0.0089209,0.0089209,0.0089209
111,269.386,0.3576,0.55963,1,1.74048,0.008911,0.008911,0.008911
112,271.819,0.37586,0.54128,1,1.66162,0.0089011,0.0089011,0.0089011
113,274.186,0.40298,0.53211,1,1.61328,0.0088912,0.0088912,0.0088912
114,276.632,0.3206,0.55963,1,1.89551,0.0088813,0.0088813,0.0088813
115,279.008,0.31533,0.6055,1,2.07471,0.0088714,0.0088714,0.0088714
116,281.412,0.37988,0.48624,1,2.0498,0.0088615,0.0088615,0.0088615
117,283.812,0.39746,0.50459,1,2.03589,0.0088516,0.0088516,0.0088516
118,286.134,0.36706,0.59633,1,1.90649,0.0088417,0.0088417,0.0088417
119,288.581,0.39401,0.45872,1,1.70557,0.0088318,0.0088318,0.0088318
120,291.008,0.34641,0.54128,1,1.66064,0.0088219,0.0088219,0.0088219
121,293.442,0.34123,0.55046,1,2.09033,0.008812,0.008812,0.008812
122,295.998,0.34302,0.54128,1,2.07397,0.0088021,0.0088021,0.0088021
123,298.634,0.34315,0.52294,1,2.10522,0.0087922,0.0087922,0.0087922
124,301.249,0.31614,0.53211,1,1.90344,0.0087823,0.0087823,0.0087823
125,303.646,0.31499,0.51376,1,2.05859,0.0087724,0.0087724,0.0087724
126,306.158,0.32173,0.54128,1,1.95874,0.0087625,0.0087625,0.0087625
127,308.677,0.30834,0.54128,1,2.05884,0.0087526,0.0087526,0.0087526
128,311.127,0.3801,0.50459,1,2.05078,0.0087427,0.0087427,0.0087427
129,313.474,0.32415,0.55963,1,1.78711,0.0087328,0.0087328,0.0087328
130,315.738,0.32923,0.56881,1,1.76929,0.0087229,0.0087229,0.0087229
131,317.959,0.28296,0.50459,1,1.63989,0.008713,0.008713,0.008713
132,320.225,0.28871,0.57798,1,2.15405,0.0087031,0.0087031,0.0087031
133,322.562,0.29134,0.56881,1,1.69214,0.0086932,0.0086932,0.0086932
134,325.021,0.26648,0.55046,1,1.84888,0.0086833,0.0086833,0.0086833
135,327.409,0.26692,0.55963,1,2.03076,0.0086734,0.0086734,0.0086734
136,329.864,0.27513,0.6055,1,1.94336,0.0086635,0.0086635,0.0086635
137,332.273,0.27939,0.6055,1,1.93262,0.0086536,0.0086536,0.0086536
138,334.698,0.28994,0.50459,1,1.59302,0.0086437,0.0086437,0.0086437
139,337.095,0.268,0.53211,1,1.61133,0.0086338,0.0086338,0.0086338
140,339.448,0.29517,0.58716,1,1.78003,0.0086239,0.0086239,0.0086239
141,341.777,0.27085,0.55046,1,1.70728,0.008614,0.008614,0.008614
142,344.105,0.27838,0.55963,1,1.96655,0.0086041,0.0086041,0.0086041
143,346.523,0.26754,0.59633,1,1.55737,0.0085942,0.0085942,0.0085942
144,348.834,0.29352,0.53211,1,1.8208,0.0085843,0.0085843,0.0085843
145,351.135,0.20726,0.55046,1,2.52295,0.0085744,0.0085744,0.0085744
146,353.458,0.28539,0.55963,1,1.83105,0.0085645,0.0085645,0.0085645
147,355.76,0.26687,0.49541,1,2.03638,0.0085546,0.0085546,0.0085546
148,358.089,0.27297,0.48624,1,2.03125,0.0085447,0.0085447,0.0085447
149,360.438,0.23592,0.55046,1,1.93823,0.0085348,0.0085348,0.0085348
150,362.816,0.23508,0.62385,1,1.60266,0.0085249,0.0085249,0.0085249
151,365.191,0.27415,0.57798,1,1.87183,0.008515,0.008515,0.008515
152,367.491,0.26779,0.61468,1,1.74854,0.0085051,0.0085051,0.0085051
153,369.847,0.2661,0.54128,1,1.93018,0.0084952,0.0084952,0.0084952
154,372.342,0.22994,0.55046,1,1.93408,0.0084853,0.0084853,0.0084853
155,374.622,0.25696,0.6422,1,2.10767,0.0084754,0.0084754,0.0084754
156,376.958,0.2443,0.55963,1,1.91821,0.0084655,0.0084655,0.0084655
157,379.242,0.2108,0.53211,1,1.99951,0.0084556,0.0084556,0.0084556
158,381.541,0.23578,0.57798,1,2.23242,0.0084457,0.0084457,0.0084457
159,383.793,0.28225,0.62385,1,2.27686,0.0084358,0.0084358,0.0084358
160,386.066,0.24591,0.58716,1,1.68774,0.0084259,0.0084259,0.0084259
161,388.31,0.26344,0.57798,1,1.79932,0.008416,0.008416,0.008416
162,390.571,0.24082,0.58716,1,1.66479,0.0084061,0.0084061,0.0084061
163,392.859,0.21435,0.50459,1,1.91138,0.0083962,0.0083962,0.0083962
164,395.154,0.22994,0.55963,1,1.81006,0.0083863,0.0083863,0.0083863
165,397.374,0.22186,0.54128,1,1.9248,0.0083764,0.0083764,0.0083764
166,399.619,0.20398,0.52294,1,1.93384,0.0083665,0.0083665,0.0083665
167,401.928,0.21408,0.56881,1,2.37939,0.0083566,0.0083566,0.0083566
168,404.174,0.21525,0.58716,1,2.08032,0.0083467,0.0083467,0.0083467
169,406.491,0.21268,0.59633,1,2.23218,0.0083368,0.0083368,0.0083368
170,408.692,0.25292,0.55046,1,1.68872,0.0083269,0.0083269,0.0083269
171,411.024,0.2276,0.56881,1,1.89819,0.008317,0.008317,0.008317
172,413.275,0.2092,0.55963,1,1.79932,0.0083071,0.0083071,0.0083071
173,415.589,0.17075,0.53211,1,2.04199,0.0082972,0.0082972,0.0082972
174,417.908,0.23762,0.54128,1,1.90796,0.0082873,0.0082873,0.0082873
175,420.275,0.21671,0.56881,1,1.93652,0.0082774,0.0082774,0.0082774
176,422.557,0.21761,0.58716,1,2.01611,0.0082675,0.0082675,0.0082675
177,424.758,0.26548,0.48624,1,2.21826,0.0082576,0.0082576,0.0082576
178,427.19,0.2306,0.62385,1,2.18848,0.0082477,0.0082477,0.0082477
179,429.501,0.17944,0.58716,1,2.10156,0.0082378,0.0082378,0.0082378
180,431.753,0.21238,0.55963,1,2.19507,0.0082279,0.0082279,0.0082279
181,434.007,0.20589,0.52294,1,2.23364,0.008218,0.008218,0.008218
182,436.274,0.21964,0.6055,1,1.98218,0.0082081,0.0082081,0.0082081
183,438.536,0.20964,0.58716,1,2.00317,0.0081982,0.0081982,0.0081982
184,440.774,0.21443,0.59633,1,1.96851,0.0081883,0.0081883,0.0081883
185,443.008,0.19755,0.57798,1,1.84766,0.0081784,0.0081784,0.0081784
186,445.307,0.20008,0.56881,1,1.90991,0.0081685,0.0081685,0.0081685
187,447.527,0.18483,0.56881,1,1.92749,0.0081586,0.0081586,0.0081586
188,449.786,0.17917,0.53211,1,2.2749,0.0081487,0.0081487,0.0081487
189,452.124,0.19184,0.53211,1,2.11621,0.0081388,0.0081388,0.0081388
190,454.392,0.17546,0.6055,1,2.01685,0.0081289,0.0081289,0.0081289
191,456.692,0.14889,0.55963,1,1.99438,0.008119,0.008119,0.008119
192,458.975,0.21261,0.58716,1,2.20703,0.0081091,0.0081091,0.0081091
193,461.207,0.15187,0.6422,1,1.83398,0.0080992,0.0080992,0.0080992
194,463.475,0.2208,0.58716,1,1.95557,0.0080893,0.0080893,0.0080893
195,465.742,0.19173,0.66055,1,2.02686,0.0080794,0.0080794,0.0080794
196,468.03,0.16562,0.55046,1,2.56934,0.0080695,0.0080695,0.0080695
197,470.318,0.21114,0.58716,1,1.94873,0.0080596,0.0080596,0.0080596
198,472.644,0.17421,0.54128,1,2.13403,0.0080497,0.0080497,0.0080497
199,475.11,0.19884,0.6055,1,1.96069,0.0080398,0.0080398,0.0080398
200,477.401,0.21355,0.55963,1,1.94165,0.0080299,0.0080299,0.0080299
201,479.675,0.20887,0.56881,1,2.0105,0.00802,0.00802,0.00802
202,481.948,0.20439,0.52294,1,1.98926,0.0080101,0.0080101,0.0080101
203,484.307,0.20969,0.54128,1,1.8042,0.0080002,0.0080002,0.0080002
204,486.516,0.15331,0.55046,1,1.91675,0.0079903,0.0079903,0.0079903
205,488.758,0.16259,0.55963,1,2.00806,0.0079804,0.0079804,0.0079804
206,490.938,0.1474,0.56881,1,2.25439,0.0079705,0.0079705,0.0079705
207,493.162,0.17829,0.57798,1,2.55664,0.0079606,0.0079606,0.0079606
208,495.318,0.13845,0.61468,1,1.97168,0.0079507,0.0079507,0.0079507
209,497.468,0.16297,0.56881,1,1.84814,0.0079408,0.0079408,0.0079408
